Time(s)			Vin(V)		Vout(V)
0.000000000000000e+00	5.000000e+00	4.999766e+00
8.096093538159458e-07	5.000026e+00	5.002693e+00
1.619218707631892e-06	5.000051e+00	5.003350e+00
2.428828061447837e-06	5.000076e+00	5.001737e+00
3.238437415263783e-06	5.000102e+00	4.997854e+00
4.048046769079729e-06	5.000127e+00	4.991700e+00
4.857656122895675e-06	5.000153e+00	4.983276e+00
5.667265476711618e-06	5.000178e+00	4.972582e+00
6.757001236492770e-06	5.000212e+00	4.918844e+00
7.301781032563979e-06	5.000229e+00	4.861237e+00
7.887143856829607e-06	5.000248e+00	4.755132e+00
8.573083906331450e-06	5.000269e+00	4.568030e+00
8.927643843711841e-06	5.000280e+00	4.437570e+00
9.346420829562094e-06	5.000294e+00	4.252194e+00
1.028944896377393e-05	5.000323e+00	3.793056e+00
1.550985738720902e-05	5.000487e+00	1.169866e+00
1.713997670182944e-05	5.000538e+00	4.248061e-01
1.824279653327850e-05	5.000573e+00	9.977949e-02
1.895198379034832e-05	5.000596e+00	2.958866e-02
1.971656096777920e-05	5.000619e+00	1.869746e-02
2.058590705113036e-05	5.000647e+00	1.285587e-02
2.167687519287537e-05	5.000681e+00	9.039650e-03
2.290632874978550e-05	5.000720e+00	6.815656e-03
2.443364672407237e-05	5.000768e+00	5.484080e-03
2.624102054134482e-05	5.000824e+00	4.790705e-03
2.861308085417303e-05	5.000899e+00	4.455174e-03
3.168945374534310e-05	5.000996e+00	4.331122e-03
4.338991874466832e-05	5.001363e+00	4.295798e-03
1.608525856648485e-02	5.516442e+00	4.295917e-03
3.212712721422503e-02	6.014207e+00	4.296009e-03
4.816899586196521e-02	6.494658e+00	4.296073e-03
6.421086450970540e-02	6.957797e+00	4.296109e-03
8.025273315744558e-02	7.403622e+00	4.296118e-03
9.629460180518576e-02	7.832133e+00	4.296098e-03
1.123364704529259e-01	8.243332e+00	4.296051e-03
1.416333454529259e-01	8.885071e+00	4.296051e-03
1.709302204529259e-01	9.395537e+00	4.296051e-03
2.002270954529259e-01	9.757483e+00	4.296051e-03
2.295239704529259e-01	9.958677e+00	4.296051e-03
2.588208454529259e-01	9.992323e+00	4.296051e-03
2.881177204529259e-01	9.857283e+00	4.296051e-03
3.174145954529259e-01	9.558120e+00	4.296051e-03
3.467114704529259e-01	9.104942e+00	4.296051e-03
3.760083454529259e-01	8.513063e+00	4.296051e-03
4.053052204529259e-01	7.802481e+00	4.296051e-03
4.206512025957831e-01	7.380201e+00	4.296051e-03
4.359971847386402e-01	6.946210e+00	4.296051e-03
4.513431668814974e-01	6.500508e+00	4.296051e-03
4.666891490243545e-01	6.043095e+00	4.296051e-03
4.820351311672117e-01	5.573972e+00	4.296051e-03
4.973811133100688e-01	5.093138e+00	4.296051e-03
5.127270954529259e-01	4.600593e+00	4.296051e-03
5.322583454529259e-01	3.993499e+00	4.332390e-03
5.420239704529259e-01	3.695065e+00	4.978985e-03
5.463979048949336e-01	3.562926e+00	6.159287e-03
5.466978235463172e-01	3.553904e+00	6.406538e-03
5.472976608490847e-01	3.535875e+00	7.325778e-03
5.484973354546197e-01	3.499880e+00	1.063554e-02
5.506179112329764e-01	3.436465e+00	2.338171e-02
5.523227496589498e-01	3.385682e+00	4.178035e-02
5.523593595720960e-01	3.384594e+00	4.251792e-02
5.524325793983885e-01	3.382417e+00	4.466335e-02
5.525790190509734e-01	3.378064e+00	4.988847e-02
5.527175299826599e-01	3.373949e+00	5.598321e-02
5.527382458378620e-01	3.373333e+00	5.715281e-02
5.527796775482663e-01	3.372103e+00	6.013551e-02
5.528410643841221e-01	3.370280e+00	6.550617e-02
5.528543093618569e-01	3.369886e+00	6.723896e-02
5.528752367478347e-01	3.369265e+00	7.056073e-02
5.528907341967136e-01	3.368804e+00	7.382996e-02
5.529010688901315e-01	3.368497e+00	7.692997e-02
5.529080546029169e-01	3.368290e+00	7.999211e-02
5.529135967255910e-01	3.368125e+00	8.341280e-02
5.529148953015476e-01	3.368087e+00	8.469176e-02
5.529174924534607e-01	3.368010e+00	8.797920e-02
5.529198293178816e-01	3.367940e+00	9.213087e-02
5.529212957681070e-01	3.367897e+00	9.600165e-02
5.529224086690863e-01	3.367864e+00	1.003322e-01
5.529232809076240e-01	3.367838e+00	1.052390e-01
5.529239736339502e-01	3.367817e+00	1.108883e-01
5.529245818287722e-01	3.367799e+00	1.182515e-01
5.529251742580009e-01	3.367782e+00	1.293248e-01
5.529257218944190e-01	3.367765e+00	1.459224e-01
5.529262356965622e-01	3.367750e+00	1.725364e-01
5.529267854985929e-01	3.367734e+00	2.209719e-01
5.529273078002048e-01	3.367718e+00	2.996804e-01
5.529279391747999e-01	3.367700e+00	4.507752e-01
5.529284795559049e-01	3.367683e+00	6.337230e-01
5.529289116068992e-01	3.367671e+00	8.177384e-01
5.529294104482290e-01	3.367656e+00	1.055698e+00
5.529298812815618e-01	3.367642e+00	1.289869e+00
5.529311620867355e-01	3.367604e+00	1.936440e+00
5.529396046960215e-01	3.367353e+00	6.205257e+00
5.529434526249366e-01	3.367239e+00	7.812423e+00
5.529465190744097e-01	3.367148e+00	8.462853e+00
5.529480572801009e-01	3.367102e+00	8.490955e+00
5.529559912359399e-01	3.366866e+00	8.493652e+00
5.529639251917787e-01	3.366631e+00	8.495681e+00
5.529718591476177e-01	3.366395e+00	8.497042e+00
5.529797931034567e-01	3.366160e+00	8.497735e+00
5.529877270592957e-01	3.365924e+00	8.497759e+00
5.529956610151345e-01	3.365689e+00	8.497116e+00
