time	V(vout)
1.910764694296321e-003	-4.340942e-003
1.925413131796320e-003	-3.759978e-003
1.940061569296320e-003	-3.152051e-003
1.954710006796320e-003	-2.517162e-003
1.969358444296320e-003	-1.855310e-003
1.984006881796320e-003	-1.166495e-003
1.996562685367749e-003	-5.719812e-004
2.009118488939178e-003	1.555780e-005
2.021674292510607e-003	5.961218e-004
2.034230096082036e-003	1.169711e-003
2.046785899653465e-003	1.736325e-003
2.059341703224894e-003	2.295965e-003
2.071897506796323e-003	2.848629e-003
2.089475631796324e-003	3.594701e-003
2.107053756796324e-003	4.275589e-003
2.124631881796325e-003	4.891291e-003
2.142210006796326e-003	5.441808e-003
2.159788131796326e-003	5.927140e-003
2.177366256796327e-003	6.347287e-003
2.194944381796328e-003	6.702249e-003
2.221311569296329e-003	7.039587e-003
2.247678756796330e-003	7.183288e-003
2.274045944296331e-003	7.133353e-003
2.300413131796332e-003	6.889780e-003
2.326780319296333e-003	6.452570e-003
2.353147506796334e-003	5.821724e-003
2.379514694296335e-003	4.997240e-003
2.393744605010621e-003	4.492098e-003
2.407974515724907e-003	3.960359e-003
2.422204426439193e-003	3.402026e-003
2.436434337153480e-003	2.817097e-003
2.450664247867766e-003	2.205573e-003
2.464894158582052e-003	1.567453e-003
2.479124069296338e-003	9.027385e-004
2.491679872867767e-003	3.099942e-004
2.504235676439196e-003	-2.771741e-004
2.516791480010625e-003	-8.587666e-004
2.529347283582055e-003	-1.434783e-003
2.541903087153484e-003	-2.005224e-003
2.554458890724913e-003	-2.570088e-003
2.567014694296342e-003	-3.129377e-003
2.584592819296342e-003	-3.887353e-003
2.602170944296343e-003	-4.582059e-003
2.619749069296344e-003	-5.213496e-003
2.637327194296344e-003	-5.781665e-003
2.654905319296345e-003	-6.286564e-003
2.672483444296346e-003	-6.728194e-003
2.690061569296346e-003	-7.106555e-003
2.717265810367776e-003	-7.489246e-003
2.744470051439206e-003	-7.665717e-003
2.771674292510635e-003	-7.635967e-003
2.798878533582065e-003	-7.399995e-003
2.826082774653494e-003	-6.957803e-003
2.853287015724924e-003	-6.309390e-003
2.880491256796354e-003	-5.454755e-003
2.889698846082068e-003	-5.135145e-003
2.898906435367783e-003	-4.802091e-003
2.908114024653497e-003	-4.455593e-003
2.917321613939212e-003	-4.095653e-003
2.926529203224927e-003	-3.722268e-003
2.935736792510641e-003	-3.335441e-003
2.944944381796356e-003	-2.935170e-003
2.947874069296356e-003	-2.806837e-003
2.954570497867785e-003	-2.508965e-003
2.961266926439214e-003	-2.208430e-003
2.967963355010643e-003	-1.905231e-003
2.974659783582071e-003	-1.599369e-003
2.981356212153500e-003	-1.290843e-003
2.988052640724929e-003	-9.796539e-004
2.994749069296358e-003	-6.658016e-004
2.997678756796358e-003	-5.288241e-004
3.000000000000000e-003	-4.202305e-004
