Freq.	V(vo)
1.40281370456195e+000	(3.51341522492502e+001,1.79995312804555e+002)
1.40604752412990e+000	(3.51341522491186e+001,1.79995301999454e+002)
1.40928879842186e+000	(3.51341522489864e+001,1.79995291169444e+002)
1.41253754462274e+000	(3.51341522488536e+001,1.79995280314468e+002)
1.41579377995707e+000	(3.51341522487201e+001,1.79995269434470e+002)
1.41905752168908e+000	(3.51341522485861e+001,1.79995258529390e+002)
1.42232878712281e+000	(3.51341522484514e+001,1.79995247599171e+002)
1.42560759360218e+000	(3.51341522483162e+001,1.79995236643756e+002)
1.42889395851109e+000	(3.51341522481803e+001,1.79995225663086e+002)
1.43218789927353e+000	(3.51341522480437e+001,1.79995214657103e+002)
1.43548943335364e+000	(3.51341522479065e+001,1.79995203625748e+002)
1.43879857825583e+000	(3.51341522477687e+001,1.79995192568964e+002)
1.44211535152486e+000	(3.51341522476303e+001,1.79995181486691e+002)
1.44543977074592e+000	(3.51341522474912e+001,1.79995170378870e+002)
1.44877185354475e+000	(3.51341522473515e+001,1.79995159245444e+002)
1.45211161758773e+000	(3.51341522472111e+001,1.79995148086352e+002)
1.45545908058195e+000	(3.51341522470701e+001,1.79995136901536e+002)
1.45881426027534e+000	(3.51341522469285e+001,1.79995125690936e+002)
1.46217717445671e+000	(3.51341522467862e+001,1.79995114454494e+002)
1.46554784095590e+000	(3.51341522466432e+001,1.79995103192148e+002)
1.46892627764385e+000	(3.51341522464996e+001,1.79995091903840e+002)
1.47231250243271e+000	(3.51341522463553e+001,1.79995080589510e+002)
1.47570653327588e+000	(3.51341522462103e+001,1.79995069249098e+002)
1.47910838816819e+000	(3.51341522460647e+001,1.79995057882543e+002)
1.48251808514594e+000	(3.51341522459184e+001,1.79995046489786e+002)
1.48593564228699e+000	(3.51341522457714e+001,1.79995035070766e+002)
1.48936107771090e+000	(3.51341522456237e+001,1.79995023625422e+002)
1.49279440957898e+000	(3.51341522454754e+001,1.79995012153694e+002)
1.49623565609442e+000	(3.51341522453264e+001,1.79995000655520e+002)
1.49968483550236e+000	(3.51341522451767e+001,1.79994989130841e+002)
1.50314196609001e+000	(3.51341522450263e+001,1.79994977579595e+002)
1.50660706618673e+000	(3.51341522448752e+001,1.79994966001720e+002)
1.51008015416413e+000	(3.51341522447234e+001,1.79994954397156e+002)
1.51356124843619e+000	(3.51341522445709e+001,1.79994942765840e+002)
1.51705036745932e+000	(3.51341522444177e+001,1.79994931107711e+002)
1.52054752973248e+000	(3.51341522442638e+001,1.79994919422708e+002)
1.52405275379728e+000	(3.51341522441092e+001,1.79994907710768e+002)
1.52756605823806e+000	(3.51341522439539e+001,1.79994895971829e+002)
1.53108746168202e+000	(3.51341522437978e+001,1.79994884205829e+002)
1.53461698279928e+000	(3.51341522436410e+001,1.79994872412705e+002)
1.53815464030302e+000	(3.51341522434835e+001,1.79994860592396e+002)
1.54170045294954e+000	(3.51341522433253e+001,1.79994848744838e+002)
1.54525443953840e+000	(3.51341522431664e+001,1.79994836869968e+002)
1.54881661891247e+000	(3.51341522430067e+001,1.79994824967724e+002)
1.55238700995807e+000	(3.51341522428463e+001,1.79994813038043e+002)
1.55596563160506e+000	(3.51341522426851e+001,1.79994801080861e+002)
1.55955250282694e+000	(3.51341522425232e+001,1.79994789096114e+002)
1.56314764264094e+000	(3.51341522423606e+001,1.79994777083741e+002)
1.56675107010813e+000	(3.51341522421972e+001,1.79994765043675e+002)
1.57036280433354e+000	(3.51341522420330e+001,1.79994752975855e+002)
1.57398286446620e+000	(3.51341522418681e+001,1.79994740880215e+002)
1.57761126969933e+000	(3.51341522417025e+001,1.79994728756692e+002)
1.58124803927037e+000	(3.51341522415360e+001,1.79994716605221e+002)
1.58489319246110e+000	(3.51341522413688e+001,1.79994704425738e+002)
